,RR,TPP,SLP,comparedProfit
39,4.0,0.048,0.012,-677.3999999999987
15,4.0,0.04,0.01,-687.0000000000127
159,2.0,0.048,0.024,-753.3000000000038
116,2.1,0.042,0.02,-794.6999999999971
38,3.833333333333334,0.046000000000000006,0.012,-794.9999999999945
93,2.0,0.036000000000000004,0.018000000000000002,-798.8999999999969
138,2.0909090909090913,0.046000000000000006,0.022,-823.4999999999927
14,3.8,0.038,0.01,-823.8000000000184
35,3.3333333333333335,0.04,0.012,-828.3000000000093
59,3.4285714285714284,0.048,0.014,-854.0999999999967
117,2.2,0.044000000000000004,0.02,-871.1999999999935
37,3.666666666666667,0.044000000000000004,0.012,-871.5000000000082
96,2.333333333333333,0.042,0.018000000000000002,-873.5999999999949
97,2.444444444444444,0.044000000000000004,0.018000000000000002,-881.3999999999996
98,2.555555555555556,0.046000000000000006,0.018000000000000002,-891.8999999999969
77,2.75,0.044000000000000004,0.016,-919.1999999999962
94,2.1111111111111107,0.038,0.018000000000000002,-922.2000000000007
74,2.375,0.038,0.016,-926.6999999999944
16,4.2,0.042,0.01,-930.9000000000115
139,2.181818181818182,0.048,0.022,-942.5999999999913
9,2.8000000000000003,0.028000000000000004,0.01,-973.8000000000084
75,2.5,0.04,0.016,-977.7000000000016
29,2.3333333333333335,0.028000000000000004,0.012,-984.3000000000102
95,2.222222222222222,0.04,0.018000000000000002,-985.5000000000118
13,3.6000000000000005,0.036000000000000004,0.01,-1007.1000000000167
17,4.4,0.044000000000000004,0.01,-1011.6000000000076
7,2.4,0.024,0.01,-1019.3999999999996
34,3.1666666666666665,0.038,0.012,-1029.0000000000082
73,2.25,0.036000000000000004,0.016,-1057.5000000000027
54,2.714285714285714,0.038,0.014,-1067.399999999996
55,2.857142857142857,0.04,0.014,-1070.399999999995
36,3.5,0.042,0.012,-1081.500000000009
12,3.4000000000000004,0.034,0.01,-1103.4000000000042
71,2.0,0.032,0.016,-1109.3999999999933
11,3.2,0.032,0.01,-1138.8000000000084
19,4.8,0.048,0.01,-1170.6000000000058
79,3.0,0.048,0.016,-1182.3000000000065
99,2.6666666666666665,0.048,0.018000000000000002,-1187.4000000000024
5,2.0,0.02,0.01,-1196.700000000009
18,4.6000000000000005,0.046000000000000006,0.01,-1209.300000000002
119,2.4,0.048,0.02,-1211.399999999997
118,2.3000000000000003,0.046000000000000006,0.02,-1223.6999999999935
56,3.0,0.042,0.014,-1229.4000000000024
57,3.1428571428571432,0.044000000000000004,0.014,-1250.999999999999
53,2.5714285714285716,0.036000000000000004,0.014,-1252.5000000000136
115,2.0,0.04,0.02,-1257.9000000000024
51,2.2857142857142856,0.032,0.014,-1262.1000000000076
8,2.6,0.026000000000000002,0.01,-1264.5000000000073
58,3.285714285714286,0.046000000000000006,0.014,-1266.2999999999965
10,3.0,0.03,0.01,-1273.8000000000138
137,2.0000000000000004,0.044000000000000004,0.022,-1277.1000000000013
49,2.0000000000000004,0.028000000000000004,0.014,-1289.6999999999953
72,2.125,0.034,0.016,-1339.5000000000073
52,2.428571428571429,0.034,0.014,-1346.1000000000067
50,2.142857142857143,0.03,0.014,-1385.699999999988
76,2.625,0.042,0.016,-1429.4999999999936
78,2.8750000000000004,0.046000000000000006,0.016,-1430.1000000000022
33,3.0000000000000004,0.036000000000000004,0.012,-1431.9000000000224
27,2.0,0.024,0.012,-1439.999999999999
6,2.1999999999999997,0.022,0.01,-1508.7000000000098
32,2.8333333333333335,0.034,0.012,-1522.2000000000044
31,2.6666666666666665,0.032,0.012,-1561.2000000000035
28,2.166666666666667,0.026000000000000002,0.012,-1720.2000000000016
30,2.5,0.03,0.012,-1750.5000000000036
